States/UTs,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,9826,7849,20150,8144,12902,10485,13022,10540
Arunachal Pradesh,96,89,86,87,84,83,88,71
Assam,2070,NA,NA,NA,2075,2629,2240,1708
Bihar,2447,3084,3810,3722,3737,3826,3940,2061
Chhattisgarh,3605,4569,4934,3571,3660,4628,6686,6827
Goa,1934,2034,2215,2184,2369,2286,2261,1528
Gujarat,8687,9611,9446,7132,9939,8012,8474,7896
Haryana,4854,4682,4636,4112,4202,4177,4512,2771
Himachal Pradesh,1363,1317,717,977,1675,1809,2046,487
Jammu & Kashmir,1024,1458,861,434,1267,1020,1040,611
Jharkhand,1475,900,1424,1037,3614,1951,2259,1874
Karnataka,17774,20070,18410,18566,18054,17936,17665,20187
Kerala,16795,16612,16884,17323,16977,17497,18757,18950
Madhya Pradesh,14382,18189,20207,19354,21259,21608,22428,16570
Maharashtra,19808,11355,10786,10538,32702,34437,19975,19863
Manipur,194,47,428,171,290,463,402,203
Meghalaya,128,84,146,119,153,117,186,133
Mizoram,11,31,32,25,15,31,12,22
Nagaland,23,2,16,18,21,NA,5,0
Odisha,3244,3644,4663,4284,4512,4734,4374,4322
Punjab,1255,1441,1717,1825,1871,1941,2789,2207
Rajasthan,7452,7605,6792,5475,5246,7516,7829,7786
Sikkim,215,49,166,8,64,63,51,59
Tamil Nadu,29260,29890,32655,29871,35767,38094,36603,33149
Telangana,NA,NA,NA,NA,NA,5702,10359,5209
Tripura,286,205,379,222,176,169,140,126
Uttarakhand,734,263,713,456,566,276,410,434
Uttar Pradesh,10361,10895,10782,10995,11238,13684,17191,13684
West Bengal,718,494,841,974,1287,2368,3674,3342
Andaman & Nicobar Islands,131,113,103,114,81,82,90,99
Chandigarh,0,168,358,210,218,NA,NA,NA
Dadra & Nagar Haveli,13,28,16,17,9,19,32,22
Daman and Diu,10,9,5,8,35,19,61,33
Delhi,0,NA,NA,NA,NA,NA,4399,1975
Lakshadweep,4,2,0,NA,NA,1,2,1
Puducherry,487,756,572,359,1017,561,769,745
Total,160666,157545,174950,152332,197082,208224,214771,185495
