States/UTs,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,9882,8040,13550,8657,17170,7941,6333,7111
Arunachal Pradesh,107,90,113,76,131,61,104,69
Assam,1704,NA,NA,NA,2554,2547,2498,2936
Bihar,3273,5200,4136,3938,3761,3643,2981,2400
Chhattisgarh,6017,5994,6197,7052,7071,5041,5134,3626
Goa,1428,1593,1537,1512,1429,1287,1341,2083
Gujarat,13008,12319,9692,7864,9478,8835,7729,8086
Haryana,2996,2805,2809,2588,2770,2879,3065,2717
Himachal Pradesh,964,1087,462,626,856,798,627,2180
Jammu & Kashmir,1422,1305,780,618,1603,1723,1722,780
Jharkhand,1319,483,1296,701,902,2663,1462,1647
Karnataka,16360,15222,14805,14715,15202,13488,10025,11372
Kerala,12737,12637,12898,13271,12935,13320,14369,14523
Madhya Pradesh,16932,17564,16658,16226,17321,18525,19157,20210
Maharashtra,20293,5516,5571,5350,18048,15343,20919,11953
Manipur,227,44,195,453,256,138,148,159
Meghalaya,170,133,180,154,165,169,211,191
Mizoram,28,55,33,58,82,52,27,32
Nagaland,22,24,15,13,26,NA,12,0
Odisha,3645,3915,2952,3120,3354,3002,3665,3572
Punjab,1335,1598,1881,2231,2222,2055,2199,2208
Rajasthan,8758,7966,7761,5895,5500,8483,8238,8382
Sikkim,185,66,137,144,127,101,98,68
Tamil Nadu,21374,23422,21737,18826,21781,20067,22305,23054
Telangana,NA,NA,NA,NA,NA,7098,5670,5583
Tripura,481,299,333,376,345,287,270,291
Uttarakhand,409,810,472,305,508,565,512,527
Uttar Pradesh,10125,9973,10090,10457,10169,6474,8108,7776
West Bengal,5249,922,1418,1311,1340,5700,4707,4101
Andaman and Nicobar Islands,102,114,126,104,93,114,96,115
Chandigarh,0,68,8,39,113,NA,NA,NA
Dadra and Nagar Haveli,25,26,26,20,48,35,22,35
Daman and Diu,25,4,4,6,19,14,9,9
Delhi,0,NA,NA,NA,NA,NA,2562,1327
Lakshadweep,0,2,0,NA,NA,0,0,0
Puducherry,290,100,392,668,307,330,408,672
Total,160892,139396,138264,127374,157686,152778,156733,149795
